iter	Passed	Remaining
407	5595	35550
408	5610	35539
409	5623	35525
410	5637	35512
411	5651	35499
412	5665	35489
413	5680	35482
414	5693	35464
415	5706	35448
416	5719	35430
417	5732	35411
418	5745	35393
419	5759	35379
420	5772	35360
421	5785	35341
422	5797	35321
423	5811	35305
424	5823	35285
425	5838	35274
426	5852	35264
427	5865	35247
428	5878	35229
429	5891	35212
430	5904	35193
431	5917	35174
432	5929	35154
433	5942	35136
434	5956	35120
435	5969	35107
436	5985	35107
437	5999	35091
438	6012	35073
439	6024	35054
440	6038	35038
441	6052	35029
442	6065	35010
443	6077	34988
444	6092	34981
445	6105	34965
446	6118	34945
447	6133	34936
448	6145	34918
449	6160	34906
450	6174	34898
451	6188	34884
452	6201	34868
453	6214	34853
454	6228	34840
455	6243	34834
456	6258	34827
457	6272	34815
458	6286	34804
459	6300	34789
460	6313	34773
461	6327	34758
462	6340	34745
463	6355	34734
464	6368	34718
465	6381	34701
466	6396	34692
467	6412	34691
468	6426	34679
469	6438	34660
470	6452	34645
471	6466	34635
472	6479	34618
473	6492	34599
474	6507	34591
475	6521	34580
476	6534	34563
477	6548	34548
478	6561	34532
479	6575	34519
480	6588	34502
481	6601	34488
482	6616	34479
483	6629	34464
484	6643	34451
485	6656	34435
486	6670	34420
487	6684	34407
488	6698	34394
489	6712	34382
490	6724	34364
491	6738	34350
492	6751	34334
493	6764	34316
494	6777	34299
495	6791	34285
496	6805	34276
497	6818	34258
498	6831	34241
499	6847	34236
500	6860	34221
501	6873	34203
502	6888	34196
503	6901	34178
504	6914	34160
505	6927	34146
506	6941	34131
507	6954	34117
508	6967	34099
509	6980	34082
510	6993	34065
511	7007	34053
512	7021	34041
513	7035	34029
514	7049	34015
515	7064	34007
516	7079	33999
517	7094	33994
518	7108	33982
519	7122	33968
520	7136	33955
521	7149	33939
522	7162	33923
523	7176	33908
524	7192	33907
525	7206	33894
526	7219	33879
527	7233	33863
528	7246	33847
529	7259	33834
530	7273	33818
531	7287	33805
532	7301	33793
533	7316	33785
534	7330	33773
535	7345	33767
536	7359	33756
537	7373	33740
538	7386	33726
539	7402	33720
540	7416	33709
541	7429	33695
542	7444	33683
543	7456	33665
544	7472	33658
545	7485	33642
546	7498	33625
547	7511	33611
548	7524	33594
549	7539	33586
550	7553	33571
551	7566	33555
552	7579	33538
553	7594	33531
554	7607	33511
555	7621	33500
556	7636	33493
557	7650	33480
558	7664	33468
559	7679	33458
560	7693	33447
561	7706	33432
562	7720	33420
563	7735	33410
564	7748	33394
565	7761	33378
566	7775	33363
567	7788	33348
568	7801	33332
569	7815	33317
570	7829	33304
571	7843	33295
572	7857	33282
573	7872	33273
574	7887	33264
575	7902	33255
576	7914	33237
577	7928	33221
578	7941	33206
579	7954	33191
580	7967	33173
581	7980	33157
582	7994	33142
583	8007	33126
584	8021	33114
585	8034	33096
586	8047	33079
587	8059	33062
588	8072	33045
589	8086	33031
590	8100	33018
591	8113	33001
592	8126	32984
593	8140	32972
594	8153	32957
595	8167	32944
596	8194	32984
597	8212	32987
598	8225	32972
599	8240	32963
600	8253	32946
601	8268	32937
602	8283	32926
603	8297	32914
604	8310	32900
605	8324	32883
606	8337	32870
607	8350	32854
608	8364	32838
609	8378	32826
610	8391	32809
611	8404	32793
612	8417	32777
613	8431	32764
614	8444	32747
615	8457	32731
616	8470	32715
617	8484	32701
618	8497	32686
619	8511	32674
620	8524	32657
621	8537	32641
622	8550	32624
623	8564	32609
624	8577	32594
625	8592	32583
626	8607	32574
627	8620	32561
628	8633	32543
629	8649	32537
630	8661	32519
631	8675	32503
632	8687	32487
633	8701	32471
634	8715	32459
635	8728	32442
636	8743	32433
637	8756	32416
638	8770	32405
639	8784	32391
640	8797	32374
641	8810	32358
642	8823	32342
643	8838	32333
644	8853	32324
645	8866	32307
646	8879	32291
647	8892	32277
648	8906	32262
649	8919	32248
650	8932	32232
651	8948	32224
652	8961	32209
653	8975	32194
654	8989	32184
655	8998	32151
656	9012	32141
657	9026	32128
658	9040	32114
659	9053	32099
660	9066	32083
661	9081	32072
662	9094	32058
663	9107	32042
664	9120	32025
665	9133	32008
666	9147	31994
667	9160	31978
668	9174	31966
669	9188	31954
670	9202	31942
671	9215	31926
672	9230	31916
673	9254	31938
674	9269	31926
675	9282	31913
676	9297	31901
677	9310	31885
678	9323	31868
679	9336	31852
680	9349	31836
681	9364	31826
682	9391	31858
683	9420	31898
684	9433	31882
685	9446	31865
686	9460	31851
687	9473	31836
688	9487	31820
689	9499	31803
690	9513	31790
691	9526	31773
692	9540	31759
693	9553	31743
694	9566	31727
695	9579	31712
696	9593	31697
697	9606	31681
698	9619	31664
699	9633	31653
700	9646	31637
701	9660	31624
702	9673	31608
703	9687	31595
704	9701	31579
705	9713	31563
706	9727	31549
707	9740	31532
708	9754	31518
709	9767	31502
710	9779	31485
711	9793	31469
712	9805	31453
713	9819	31437
714	9833	31425
715	9846	31410
716	9859	31394
717	9873	31381
718	9886	31364
719	9899	31348
720	9912	31332
721	9927	31321
722	9939	31304
723	9953	31291
724	9968	31279
725	9981	31263
726	9994	31249
727	10009	31237
728	10022	31221
729	10036	31208
730	10050	31196
731	10063	31181
732	10077	31166
733	10091	31154
734	10104	31138
735	10117	31122
736	10132	31111
737	10147	31102
738	10161	31088
739	10177	31082
740	10190	31067
741	10205	31056
742	10233	31085
743	10265	31128
744	10299	31175
745	10331	31217
746	10368	31272
747	10405	31328
748	10439	31374
749	10454	31363
750	10488	31410
751	10527	31470
752	10564	31524
753	10602	31582
754	10634	31622
755	10663	31651
756	10676	31635
757	10691	31623
758	10704	31605
759	10717	31587
760	10730	31572
761	10743	31554
762	10758	31542
763	10771	31523
764	10783	31505
765	10800	31498
766	10813	31482
767	10819	31445
768	10833	31430
769	10847	31414
770	10860	31399
771	10874	31384
772	10888	31369
773	10902	31354
774	10914	31336
775	10928	31319
776	10941	31304
777	10958	31296
778	10970	31279
